run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
59,DecapterusMaruadsi,SSP5-8.5,0.533732215432099,Decapterus maruadsi,Mid-trophic species,10,0.538799616666667,-0.0136327310984533,-0.00506740123456795
59,EngraulisJaponicus,SSP1-2.6,0.662716854320988,Engraulis japonicus,Prey,1,0.714972716666667,-0.109495579018339,-0.0522558623456789
59,EngraulisJaponicus,SSP5-8.5,0.679195710493827,Engraulis japonicus,Prey,1,0.714972716666667,-0.0740608422679813,-0.03577700617284
59,LarimichthysPolyactis,SSP1-2.6,0.874469064567901,Larimichthys polyactis,Mid-trophic species,13,0.872311222333333,0.00356439776398053,0.00215784223456794
59,LarimichthysPolyactis,SSP5-8.5,0.870344592469136,Larimichthys polyactis,Mid-trophic species,13,0.872311222333333,-0.00325623491766689,-0.00196662986419704
59,MiichthysMiiuy,SSP1-2.6,0.582743518148148,Miichthys miiuy,Predator,5,0.579099038333333,0.00905095130370251,0.00364447981481497
59,MiichthysMiiuy,SSP5-8.5,0.582196691358025,Miichthys miiuy,Predator,5,0.579099038333333,0.00769653954962231,0.003097653024692
59,MuraenesoxCinereus,SSP1-2.6,0.700350386049383,Muraenesox cinereus,Predator,4,0.689610721,0.022294681157841,0.0107396650493831
59,MuraenesoxCinereus,SSP5-8.5,0.701919395555556,Muraenesox cinereus,Predator,4,0.689610721,0.0255231657304953,0.0123086745555561
59,PampusArgenteus,SSP1-2.6,0.43814506654321,Pampus argenteus,Mid-trophic species,12,0.436895502,0.00412036163797241,0.00124956454321001
59,PampusArgenteus,SSP5-8.5,0.434617525802469,Pampus argenteus,Mid-trophic species,12,0.436895502,-0.00754190090787477,-0.00227797619753101
59,PennahiaArgentata,SSP1-2.6,0.591126519259259,Pennahia argentata,Mid-trophic species,11,0.596990784,-0.0142417155960386,-0.00586426474074109
59,PennahiaArgentata,SSP5-8.5,0.60814836962963,Pennahia argentata,Mid-trophic species,11,0.596990784,0.0267146799754129,0.01115758562963
59,PortunusTrituberculatus,SSP1-2.6,0.977390128518518,Portunus trituberculatus,Invertebrate,8,0.989435132,-0.0176705926909793,-0.012045003481482
